nct_id,title,overall_status,phase,start_date,enrollment,sponsor_name
NCT01006252,A Study of Tasisulam-sodium Versus Paclitaxel as Treatment for Metastatic Melanoma,TERMINATED,PHASE3,,336.0,Eli Lilly and Company
NCT00416949,Iodine I 131 in Treating Patients With Thyroid Cancer,TERMINATED,NA,,9.0,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins
NCT01112449,Influence of Selenium on Prostate Cancer Related Biomarkers,COMPLETED,NA,,130.0,Milton S. Hershey Medical Center
NCT00026338,Gemcitabine With/Out Erlotinib in Unresectable Locally Advanced/Metastatic Pancreatic Cancer,COMPLETED,PHASE3,2001-10-29,569.0,NCIC Clinical Trials Group
NCT01975038,Adaption of the Skin Sun Sensitivity Scale,COMPLETED,,,292.0,Northwestern University
NCT01276938,Exclusive Intraoperative Radiation Therapy for Breast Cancer,COMPLETED,"PHASE2, PHASE3",,40.0,"IRCCS Azienda Ospedaliera Universitaria San Martino - IST Istituto Nazionale per la Ricerca sul Cancro, Genoa, Italy"
NCT03200847,Pembrolizumab and All-Trans Retinoic Acid Combination Treatment of Advanced Melanoma,COMPLETED,"PHASE1, PHASE2",2017-10-31,26.0,"University of Colorado, Denver"
NCT04978649,Intervention for High-normal Blood Pressure in Adults With Type 2 Diabetes-----renal Substudy,WITHDRAWN,PHASE4,2021-09-01,0.0,Guangdong Provincial People's Hospital
NCT00931138,"Treatment of Acute Myeloid Leukemia (AML) in Adults 50 to 70 Years, Study of Two Anthracyclines and the Interest of Maintenance Treatment With Interleukin 2",COMPLETED,PHASE3,,420.0,Acute Leukemia French Association
NCT06083038,Utilizing Continuous Glucose Monitoring to Characterize and Manage Hyperglycemia in Patients Initiating Alpelisib,ACTIVE_NOT_RECRUITING,,2023-10-05,15.0,HealthPartners Institute
NCT07232849,A Trial of HRS-4508 Combined With Other Antitumor Therapies in Subjects With Locally Advanced or Metastatic Non-small Cell Lung Cancer,RECRUITING,PHASE2,2025-12-04,100.0,"Jiangsu HengRui Medicine Co., Ltd."
NCT02431000,Male Fertility and Sperm Cryopreservation,WITHDRAWN,,,0.0,University of Tennessee
NCT01226407,Examine Maximum Tolerated Dose and Pharmacokinetic and Pharmacodynamic Profile,UNKNOWN,PHASE1,,36.0,"CrystalGenomics, Inc."
NCT07022301,Sintilimab Plus Anlotinib as Second or Further-line Therapy for ES-SCLC Who Have Progressed After Anti-PD-1/L1 Therapy,NOT_YET_RECRUITING,PHASE2,,25.0,First Affiliated Hospital of Wannan Medical College
NCT02386267,L-leucine in Diamond Blackfan Anemia Patients,UNKNOWN,PHASE2,,30.0,"Federal Scientific Clinical Centre of Pediatric Hematology, Oncology and Immunology named after Dmitry Rogache"
NCT03327467,Expanded Access Protocol: Umbilical Cord Blood Infusions for Children With Brain Injuries,AVAILABLE,,,,"Joanne Kurtzberg, MD"
NCT03818100,Neo-RT: A Study Investigating Whether Changing the Sequence of Treatments (Starting Radiotherapy Followed by Hormone Therapy Before Surgery) is Feasible,UNKNOWN,,2018-03-26,43.0,CCTU- Cancer Theme
NCT07283900,Ascorbate in Myelodysplastic Syndrome,NOT_YET_RECRUITING,PHASE2,2026-05-01,38.0,Prajwal Dhakal
NCT00400205,"Study of Induction Docetaxel, Cisplatin and 5-Fluorouracil",TERMINATED,PHASE2,,14.0,Emory University
NCT00470405,Pemetrexed and Oxaliplatin in Treating Patients With Metastatic Solid Tumors or Lymphoma,COMPLETED,PHASE1,,25.0,Vanderbilt-Ingram Cancer Center
NCT03872505,"Pre-operAtive Non-Anthracycline Chemotherapy, Durvalumab +/- RAdiation Therapy in Triple Negative Breast Cancer",WITHDRAWN,PHASE2,,0.0,Cedars-Sinai Medical Center
NCT04594005,"CDK4/6 Tumor, Abemaciclib, Paclitaxel",COMPLETED,"PHASE1, PHASE2",2021-02-25,30.0,Yonsei University
NCT04767594,First-line Palbociclib and Endocrine Therapy for Patients With HR+/HER2- Advanced Breast Cancer in the Real-world Setting.,ACTIVE_NOT_RECRUITING,,2020-10-27,1409.0,Pfizer
NCT02258594,"Promoting Respect and Ongoing Safety Through Patient-centeredness, Engagement, Communication and Technology",COMPLETED,NA,,4368.0,Brigham and Women's Hospital
NCT07167056,Artificial Intelligence-Powered Support For Quality Of Life Improvement In Participants With Cancer,RECRUITING,NA,2025-11-17,60.0,Case Comprehensive Cancer Center
NCT05623956,Proteomics in Small Cell Lung Cancer,RECRUITING,,2023-03-01,50.0,Aalborg University Hospital
NCT00460356,Glycoprotein and Glycan in Tissue and Blood Samples of Patients With Stage IB-IVA Cervical Cancer Undergoing Surgery to Remove Pelvic and Abdominal Lymph Nodes,COMPLETED,,2007-04-02,159.0,Gynecologic Oncology Group
NCT06193122,Three-Dimensional Ultrasound and Spectroscopy as Early Indicators of Breast Cancer Response to Neoadjuvant Treatment,NOT_YET_RECRUITING,,,200.0,Sunnybrook Health Sciences Centre
NCT02308722,SBRT Pre-operatively for Pancreatic Cancer,COMPLETED,PHASE1,,12.0,University of Oxford
NCT01805622,Educational Program to Increase Colorectal Cancer Screening: a Cluster Trial,UNKNOWN,NA,,7200.0,Morehouse School of Medicine
NCT05872451,Current Intensity for the Obturator Nerve Block,COMPLETED,NA,2023-07-01,30.0,Chosun University Hospital
NCT03242551,Biomarkers Investigation of Neoadjuvant Chemotherapy for Breast Cancer,UNKNOWN,PHASE2,2017-11-08,120.0,Shenzhen People's Hospital
NCT05787951,Frequency and Risk Factors of Acute Myeloid Leukemia,UNKNOWN,,2023-05-01,200.0,Assiut University
NCT05764551,The Application of Serum DNA Methylation for Patients With HCC,RECRUITING,NA,2023-03-28,100.0,Chiayi Christian Hospital
NCT06127251,"Active You: Walk, Dance, and Tone Your Abs to Reduce Your Risk of Diabetes",COMPLETED,NA,2024-04-11,54.0,Emory University
NCT02607631,A Study of Pembrolizumab for Patients With Thymic Epithelial Tumor,COMPLETED,PHASE2,,33.0,Samsung Medical Center
NCT03339531,Optimized 2D-RT for Prostate Cancer,COMPLETED,NA,2015-02-02,20.0,IRCCS Azienda Ospedaliero-Universitaria di Bologna
NCT05098002,Mindfulness Meditation,COMPLETED,NA,2022-01-02,57.0,Roswell Park Cancer Institute
NCT03372902,Development Of A Blood Test To Improve The Performance Of Breast Cancer Screening,COMPLETED,,2017-12-07,628.0,Memorial Sloan Kettering Cancer Center
NCT05577702,"Efficacy, Safety, and Pharmacodynamics of Tislelizumab Monotherapy and Multiple Tislelizumab-based Immunotherapy Combinations in Participants With Resectable Non-Small Cell Lung Cancer",COMPLETED,PHASE2,2023-03-08,121.0,BeiGene
NCT04667702,HPV Vaccine Hesitancy Among Indiana Youth With Cancer and Blood Diseases,COMPLETED,,2021-01-04,176.0,Indiana University
